SUMMARIZATION_LEVEL,NAME,ORGANIZATION_CITY,ORGANIZATION_ZIP,PRODUCT_TYPE,MEASURE_CODE,MEASURE_DESCRIPTION,MEASURE_COMPONENT,MEASURE_SUMMARY_UNITS,AGE_STRATIFICATION,MEASURE_RESULT,LOWER_95_CI,UPPER_95_CI,REPORTING_PERIOD_BEGIN_DT,REPORTING_PERIOD_END_DT,PERFORMANCE_CATEGORY
Clinic,Kaiser Permanente Olympia Medical Center,Olympia,98506,MEDICAID,CHL,Chlamydia Screening in Women,Compliance,Percent Compliance,Overall,0.61,0.51,0.72,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Kaiser Permanente Orchards Medical Office,Vancouver,98682,MEDICAID,CDC-EYE,Comprehensive Diabetes Care - Eye Exam Performed,Compliance,Percent Compliance,Overall,0.54,0.42,0.66,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Kaiser Permanente Bellevue Medical Center,Bellevue,98004,COMMERCIAL,MPM-ACE,Annual Monitoring for Patients on Persistent Medications - ACE Inhibitors or ARBs,Compliance,Percent Compliance,Overall,0.8,0.76,0.84,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Kaiser Permanente Bellevue Medical Center,Bellevue,98004,COMMERCIAL,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,0,0,0,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,The Everett Clinic - Silver Lake,Everett,98208,MEDICAID,CDC-EYE,Comprehensive Diabetes Care - Eye Exam Performed,Compliance,Percent Compliance,Overall,0.34,0.18,0.5,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Multicare Auburn Internal Medicine,Auburn,98001,COMMERCIAL,PDC-STA,Proportion of Days Covered - Statins (STA),Compliance,Percent Compliance,Overall,0.63,0.52,0.73,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Healthpoint Tukwila,Tukwila,98168,MEDICAID,PQI-05,Chronic Obstructive Pulmonary Disease (COPD) or Asthma in Older Adults Admission Rate,Visit Count,"Rate per 1,000 Member-Years",Overall,3.88,1.69,6.07,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,The Polyclinic - Broadway,Seattle,98122,COMMERCIAL,AMB-AVOIDEDV,Ambulatory Care - Avoidable Emergency Department Visits,Visit Count,"Rate per 1,000 Member-Years",Overall,6.23,5.6,6.85,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,The Polyclinic - Broadway,Seattle,98122,COMMERCIAL,BCS,Breast Cancer Screening,Compliance,Percent Compliance,Overall,0.83,0.81,0.86,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Kadlec - Kennewick Primary Care,Kennewick,99337,COMMERCIAL,MPM-ACE,Annual Monitoring for Patients on Persistent Medications - ACE Inhibitors or ARBs,Compliance,Percent Compliance,Overall,0.85,0.77,0.94,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,Multicare Covington Clinic Family Practice,Covington,98042,MEDICAID,CCS,Cervical Cancer Screening,Compliance,Percent Compliance,Overall,0.72,0.68,0.77,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Healthpoint Kent,Kent,98030,MEDICAID,PDC-RASA,Proportion of Days Covered - Renin Angiotensin System Antagonists (RASA),Compliance,Percent Compliance,Overall,0.56,0.51,0.61,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Statewide,,,,MEDICAID,AMM-ACUTE,Antidepressant Medication Management: Effective Acute Phase Treatment,Compliance - Acute Phase,Percent Compliance,Overall,0.43,0.42,0.44,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,
Clinic,Uw Neighborhood Smokey Point Clinic,Arlington,98223,MEDICAID,CCS,Cervical Cancer Screening,Compliance,Percent Compliance,Overall,0.54,0.46,0.61,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
Clinic,The Polyclinic - Northgate Plaza,Seattle,98115,COMMERCIAL,AMB-AVOIDEDV,Ambulatory Care - Avoidable Emergency Department Visits,Visit Count,"Rate per 1,000 Member-Years",Overall,5.9,5.11,6.7,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Better
Clinic,Neighborcare Health At 45th Street,Seattle,98103,MEDICAID,W34,"Well-Child Visits in the Third, Fourth, Fifth and Sixth Years of Life",Compliance,Percent Compliance,Overall,0.6,0.49,0.7,01/01/2016 12:00:00 AM,12/31/2016 12:00:00 AM,Average
